Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
USD/CHF,1.01097,0.0002,0.0684,-0.5843,0.0001,0.000099,0.03,33.34,1,0,USD/CHF
USD/CNH,6.8613,0.00066,-0.2109,-0.0383,0.0001,0.000015,0.05,20.002,1,0,USD/CNH
USD/CZK,25.6277,0.0389,0.0535,-0.1801,0.0001,0.000004,0.05,20.03,1,0,USD/CZK
USD/DKK,7.0456,0.00144,0.0195,-0.1912,0.0001,0.000014,0.02,50.01,1,0,USD/DKK
USD/HKD,7.7607,0.0004,0.0226,-0.1885,0.0001,0.000013,0.05,20.001,1,0,USD/HKD
USD/HUF,292.13,0.501,0.066,-0.1775,0.01,0.000034,0.05,20.034,1,0,USD/HUF
USD/JPY,113.225,0.017,0.0678,-0.1783,0.01,0.000088,0.04,25.004,1,0,USD/JPY
USD/MXN,19.943,0.02396,-0.0216,-0.1168,0.0001,0.000005,0.08,12.515,1,0,USD/MXN
USD/NOK,8.3746,0.00721,0.0079,-0.1698,0.0001,0.000012,0.03,33.362,1,0,USD/NOK
USD/PLN,4.077,0.00564,-0.0862,-0.1309,0.0001,0.000025,0.05,20.028,1,0,USD/PLN
USD/SAR,3.7522,0.00396,-0.1361,-0.2364,0.0001,0.000027,0.05,20.021,1,0,USD/SAR
USD/SEK,8.982,0.00813,0.0379,-0.1963,0.0001,0.000011,0.03,33.364,1,0,USD/SEK
USD/SGD,1.41571,0.00032,-0.1685,-0.2505,0.0001,0.000071,0.05,20.005,1,0,USD/SGD
USD/THB,35.048,0.077,0.0363,-0.174,0.01,0.000286,0.05,20.044,1,0,USD/THB
USD/TRY,3.5852,0.00319,-0.6806,0.3112,0.0001,0.000028,0.05,20.018,1,0,USD/TRY
USD/ZAR,13.0292,0.01976,-0.0879,-0.0464,0.0001,0.000008,0.05,20.03,1,0,USD/ZAR
ZAR/JPY,8.715,0.035,0.1306,-0.1563,0.01,0.000088,0.0038,20.081,1,0,ZAR/JPY
